state,STATE,Public_K-12_students transported_daily,Private_K_12_students_transported_daily,Total_annual_route_mileage,Total_Bus,Average_distance_from_home_to_school,Length_of_average_school_year_days
AL,Alabama,362567,362567,86653080,7795,5,180
AK,Alaska,29775,29775,7702265,1072,5,180
AZ,Arizona,301135,301135,80638240,7166,5,180
AR,Arkansas,350373,350373,43740000,4532,5,180
CA,California,666314,500543,254325996,24201,5,180
CO,Colorado,376195,13465,49202613,3982,5,180
CT,Connecticut,467000,467000,N/A,7795,5,180
DE,Delaware,117000,117000,19000000,1650,5,180
DC,District of Columbia,,,,,5,180
FL,Florida,998175,998175,252723774,14677,5,180
GA,Georgia,963622,963622,143266140,14858,5,180
HI,Hawaii,38000,38000,N/A,660,5,180
ID,Idaho,105096,105096,22932368,2815,5,180
IL,Illinois,1046699,1062688,220572003,29203,5,180
IN,Indiana,650000,650000,N/A,16247,5,180
IA,Iowa,243283,243283,42044412,4500,5,180
KS,Kansas,223767,28477,37899607,4065,5,180
KY,Kentucky,519013,27788,95676307,6323,5,180
LA,Louisiana,464686,479305,N/A,6841,5,180
ME,Maine,145000,145000,31430000,3156,5,180
MD,Maryland,626076,1229,123610560,7161,5,180
MA,Massachusetts,500000,500000,N/A,9000,5,180
MI,Michigan,636344,636344,161685246,15833,5,180
MN,Minnesota,771705,45855,167616647,12042,5,180
MS,Mississippi,417759,417759,51730784,5363,5,180
MO,Missouri,547692,547692,107573904,11993,5,180
MT,Montana,86390,19,10788416,3262,5,180
NE,Nebraska,88522,23924,33249671,7519,5,180
NV,Nevada,147663,147663,34783003,2792,5,180
NH,New Hampshire,159600,159600,N/A,3200,5,180
NJ,New Jersey,699976,85621,N/A,16704,5,180
NM,New Mexico,162617,162617,29647725,2038,5,180
NY,New York,1875496,630390,N/A,45600,5,180
NC,North Carolina,778432,778432,181191688,13151,5,180
ND,North Dakota,43804,43804,21215830,853,5,180
OH,Ohio,857000,122000,180000000,15907,5,180
OK,Oklahoma,406871,406871,N/A,7500,5,180
OR,Oregon,305035,315,50660832,4033,5,180
PA,Pennsylvania,1378793,142211,394195693,21596,5,180
RI,Rhode Island,94800,94800,N/A,1691,5,180
SC,South Carolina,361461,361461,81286400,5172,5,180
SD,South Dakota,43876,43876,N/A,2000,5,180
TN,Tennessee,654785,654785,103514400,9112,5,180
TX,Texas,1630845,423,107946053,43575,5,180
UT,Utah,173468,173468,31935834,2895,5,180
VT,Vermont,68367,3164,N/A,1194,5,180
VA,Virginia,860999,860999,123035023,16020,5,180
WA,Washington,410000,410000,93028422,7425,5,180
WV,West Virginia,217921,217921,42023968,2974,5,180
WI,Wisconsin,481780,33749,N/A,13500,5,180
WY,Wyoming,34678,34678,20051337,1551,5,180