state,STATE,Average District Enrollment,Total Schools
AK,Alabama,6307,1244
AL,Alaska,2506,506
AR,Arizona,4547,1487
AZ,Arkansas,2027,1047
CA,California,6640,9551
CO,Colorado,4857,1795
CT,Connecticut,3046,1041
DC,District of Columbia,44942,115
DE,Delaware,6341,199
FL,Florida,46237,4218
GA,Georgia,9440,2320
HI,Hawaii,186825,290
IA,Idaho,2431,657
ID,Illinois,2388,3927
IL,Indiana,3451,1823
IN,Iowa,1432,1380
KS,Kansas,1717,1335
KY,Kentucky,3984,1476
LA,Louisiana,9342,1292
MA,Maine,980,596
MD,Maryland,36074,1441
ME,Massachusetts,3297,1524
MI,Michigan,2509,3009
MN,Minnesota,2459,1932
MO,Mississippi,3629,839
MS,Missouri,1712,2133
MT,Montana,354,818
NC,Nebraska,1235,1056
ND,Nevada,27223,637
NE,New Hampshire,180047,732
NH,New Jersey,2291,2410
NJ,New Mexico,3668,809
NM,New York,2380,2879
NV,North Carolina,12520,2446
NY,North Dakota,587,465
OH,Ohio,2604,3200
OK,Oklahoma,1293,1757
OR,Oregon,3121,1198
PA,Pennsylvania,3200,2801
RI,Rhode Island,3940,254
SC,South Carolina,8759,1181
SD,South Dakota,869,684
TN,Tennessee,7387,1819
TX,Texas,4852,8543
UT,Utah,14949,889
VA,Vermont,76318,462
VT,Virginia,9687,1967
WA,Washington,3727,2296
WI,West Virginia,5250,711
WV,Wisconsin,2046,2197
WY,Wyoming,1928,352