id,statename,Average District Enrollment,Total Enrollment,Total Districts,Excluded Districts,Total Schools
1,Alabama,6307,630683,137,37,1244
2,Alaska,2506,130294,53,1,506
3,Arizona,4547,936781,226,20,1487
4,Arkansas,2027,478273,238,2,1047
5,California,6640,5995854,941,38,9551
6,Colorado,4857,864583,178,0,1795
7,Connecticut,3046,514830,169,0,1041
8,Delaware,6341,120475,19,0,199
9,District of Columbia,44942,44942,1,0,115
10,Florida,46237,2681751,67,9,4218
11,Georgia,9440,1699185,180,0,2320
12,Hawaii,186825,186825,1,0,290
13,Idaho,2431,277084,115,1,657
14,Illinois,2388,2025371,865,17,3927
15,Indiana,3451,1007671,296,4,1823
16,Iowa,1432,494043,348,3,1380
17,Kansas,1717,491147,309,23,1335
18,Kentucky,3984,673316,175,6,1476
19,Louisiana,9342,653921,70,0,1292
20,Maine,980,175404,238,59,596
21,Maryland,36074,865768,24,0,1441
22,Massachusetts,3297,784569,238,0,1524
23,Michigan,2509,1347390,550,13,3009
24,Minnesota,2459,789472,340,19,1932
25,Mississippi,3629,410089,151,38,839
26,Missouri,1712,857782,521,20,2133
27,Montana,354,144034,415,8,818
28,Nebraska,1235,307398,249,0,1056
29,Nevada,27223,435574,18,2,637
30,New Hampshire,,,,,
31,New Jersey,2291,1335382,602,19,2410
32,New Mexico,3668,326476,89,0,809
33,New York,2380,1625554,697,14,2879
34,North Carolina,12520,1439856,115,0,2446
35,North Dakota,587,101593,182,9,465
36,Ohio,2604,1601393,618,3,3200
37,Oklahoma,1293,667246,521,5,1757
38,Oregon,3121,546227,180,5,1198
39,Pennsylvania,3200,1596608,500,1,2801
40,Rhode Island,3940,122130,35,4,254
41,South Carolina,8759,726965,84,1,1181
42,South Dakota,869,130366,151,1,684
43,Tennessee,7387,982444,141,8,1819
44,Texas,4852,4929986,1029,13,8543
45,Utah,14949,568045,41,3,889
46,Vermont,,,,,
47,Virginia,9687,1259295,132,2,1967
48,Washington,3727,1047182,298,17,2296
49,West Virginia,5250,272974,55,3,711
50,Wisconsin,2046,863587,422,0,2197
51,Wyoming,1928,92563,48,0,352